USDAUD
USDBRL
USDCAD
USDCHF
USDCNY
USDEUR
USDGBP
USDIDR
USDILS
USDJPY
USDKRW
USDMXN
USDNOK
USDNZD
USDPLN
USDRUB
USDSEK
USDSGD
USDTRY
USDTWD
USDZAR
USDPEN
USDDKK
