IGAUS10D
IGBRAG1D
IGCAN10D
IGCHE10D
IGCHL10D
IGCHN10D
IGCZE10D
IGEUR10D
IGGBR10D
IGHUN10D
IGIDN10D
IGISR10IM
IGIND10D
IGJPN10D
IGKOR10D
IGMEX10D
IGMYS10D
IGNOR10D
IGNZL10D
IGPHL10D
IGPOL10D
""
IGRUS10D
IGSWE10D
IGSGP10D
IGTHA10D
IGTUR10D
IGTWN10D
IGUSA10D
IGZAF10D
IGPER10D
IGAUT10D
IGBEL10D
IGFRA10D
IGESP10D
IGDNK10D
IGFIN10D
IGGRC10D
IGIRL10D
IGRISL10D
IGITA10D
IGPRT10D
IGNLD10D
IGDEU10D
""
