MSAUSM0
MSBRAM0
MSCANM0
MSCHEM0
MSCHLM0
MSCHNM0
MSCZEM0
MSEUROM1
MSGBRM0
MSHUNM0
MSIDNM0
MSISRM0
MSINDM0
MSJPNM0
MSKORM0
MSMEXM0
MSMYSM0
MSNORM0
MSNZLM0
""
MSPOLM0
MSROUM0
MSRUSM0
MSSWEM0
MSSGPM0
MSTHAM1
MSTURM0
MSTWNM0
MSUSAM0
MSZAFM0
MSPERM0
MSAUTM0
""
MSFRAM0
MSESPM0
MSDNKM0
MSFINM0
MSGRCM1
MSIRLM0
MSISLM0
MSITAM0
""
MSNLDM0
""
MSSRBM0
