_AORDAD
_BVSPD
_TRGSPTSE
_SSHID
_IGPAD
_SSEAD
_PXTRD
_STOXXER
_TFTASD
_BUXD
_JKSED
_TAALLSD
_BSESND
_TOPXDVD
_KS11D
_MXXD
_TFTFBMD
_OSEAXD
_NZCID
_PSIND
_WIGD
_BETCD
_MCX10D
_OMXSBGI
_FTFSTAD
_SETID
_XU100D
_TWIID
_SPXTRD
_TFTFTSD
_SPBLPGPT
_ATXTRD
_BCSHD
_CACTD
_SMSID
_OMXCPID
_OMXHGID
_ATGD
_IVRTD
_OMXIGID
_TFTMIBD
_BVLGD
_AAXGRD
_CDAXP
_BELEXD
