FXRAUSM
FXRBRAM
FXRCANM
FXRCHEM
FXRCHLGA
FXRCHNM
FXRCZEM
""
FXRGBRM
FXRHUNM
FXRIDNM
FXRISRM
FXRINDM
FXRJPNM
FXRKORM
FXRMEXM
FXRMYSM
FXRNORM
FXRNZLM
FXRPHLM
FXRPOLM
FXRROUM
FXRRUSM
FXRSWEM
FXRSGPM
FXRTHAM
FXRTURM
FXRTWNM
FXRUSAM
FXRZAFM
FXRPERM
FXRAUTM
FXRBELM
FXRFRAM
FXRESPM
FXRDNKM
FXRFINM
FXRGRCM
FXRIRLM
FXRISLM
FXRITAM
FXRPRTM
FXRNLDM
FXRDEUM
FXRSRBM
