ITAUS6D
ITBRA6D
ITCAN6D
ITCHE6D
ITCHL6D
""
ITCZE6D
""
ITGBR6D
ITHUN6D
ITIDN6D
ITISR6D
ITIND6D
ITJPN6D
ITKEN6D
ITMEX6D
ITMYS6M
ITNOR6D
ITNZL6D
ITPHL6D
""
ITROU6D
ITRUS6D
ITSWE6D
ITSGP6D
ITTHA6D
ITTUR6D
ITTWN6D
ITRUSA6D
ITZAF6D
""
""
ITBEL6D
ITFRA6D
ITESP6D
ITDNK6D
ITFIN6D
ITGRC6D
""
ITISL6D
ITITA6D
ITPRT6D
ITNLD6D
ITDEU6D
""
