GDPAUS
GDPBRA
GDPCAN
GDPCHL
GDPCHN
GDPCZE
GDPDEU
GDPGBR
GDPHUN
GDPIDN
GDPISR
GDPIND
GDPJPN
GDPKOR
GDPMEX
""
GDPNOR
GDPNZL
GDPPHL
GDPPOL
""
""
GDPSWE
GDPSGP
GDPTHA
GDPTUR
GDPTWN
GDPUSA
GDPZAF
GDPPER
GDPAUT
GDPBEL
GDPFRA
GDPESP
GDPDNK
GDPFIN
GDPGRC
GDPIRL
""
GDPITA
GDPPRT
GDPNLD
GDPDEU
GDPSRB
