IGAUS5D
IGBRA5D
IGCANB3D
IGCHE5D
IGCHL5D
IGCHN5D
IGCZE5D
IGEUR5D
IGGBR5D
IGHUN5D
IGIDN5D
IGISR5D
IGIND5D
IGJPN5D
IGKOR5D
IGMEX5D
IGMYS5D
IGNOR5D
IGNZL5D
IGPHL5D
IGPOL5D
""
IGRUS5D
IGSWE5D
IGSGP5D
IGTHA5D
IGTUR5D
IGTWN5D
IGUSA5D
IGZAF5D
IGPER5D
IGAUT5D
IGBEL5D
IGFRA5D
IGESP5D
IGDNK5D
IGFIN5D
IGGRC5D
IGIRL5D
""
IGITA5D
IGPRT5D
IGNLD5D
IGDEU5D
IGRSRB5D
