SYAUSPM
SYBRAPM
SYCANPTM
SYCHEPM
SYCHLPM
SYCHNPM
SYCZEPM
SYEURPM
""
SYHUNPM
SYIDNPM
SYISRPM
SYINDPD
SYJPNPNM
SYKORPM
SYMEXPM
SYMYSPM
SYNORPM
SYNZLPM
SYPHLPM
SYPOLPM
SYROUPM
SYRUSPM
SYSWEPM
SYSGPPM
SYTHAPM
SYTURPM
SYTWNPM
SYUSAPM
SYZAFPXM
SYPERPM
SYAUTPM
SYBELPM
SYFRAPM
SYESPPM
SYDNKPM
SYFINPM
SYGRCPM
SYIRLPM
SYISLPM
SYITAPM
SYPRTPM
SYNLDPM
SYDEUPM
""
