AUDUSD
BRLUSD
CADUSD
CHFUSD
USDCLP
CNYUSD
USDCZK
EURUSD
GBPUSD
USDHUF
IDRUSD
ILSUSD
USDINR
JPYUSD
KRWUSD
MXNUSD
USDMYR
NOKUSD
NZDUSD
USDPHP
PLNUSD
USDRON
RUBUSD
SEKUSD
SGDUSD
USDTHB
TRYUSD
TWDUSD
ZARUSD
PENUSD
USDATS
USDBEF
USDFRF
USDESP
DKKUSD
USDFIM
USDGRD
USDIEP
USDISK
USDITL
USDPTE
USDNLG
USDDEM
USDRSD
