IGAUS2D
IGBRA2D
IGCANB1D
IGCHE2D
IGCHL2D
IGCHN2D
IGCZE2D
IGEUR2D
IGGBR2D
IGHUN2M
IGIDN2D
IGISR1D
IGIND2D
IGJPN2D
IGKOR2D
IGMEX3D
IGMYS1D
IGNOR2D
IGNZL2D
IGPHL2D
IGPOL2D
""
IGRUS3D
IGSWE2D
IGSGP2D
IGTHA2D
IGTUR2D
IGTWN2D
IGUSA2D
IGZAF3D
IGPER3D
IGAUT2D
IGBEL2D
IGFRA2D
IGESP2D
IGDNK2D
IGFIN2D
IGGRC2D
IGIRL2D
""
IGITA3D
IGPRT3D
IGNLD3D
IGDEU2D
IGRSRB3D
