MSAUSM1
MSBRAM1
MSCANM1G
MSCHEM1
MSCHLM1
""
""
MSEUROM2
MSGBRM1
""
MSIDNM1
MSISRM1
""
""
""
MSMEXM1
""
MSNORM2
MSNZLM1
""
""
""
""
""
MSSGPM1
""
MSTURM1
MSTWNM1B
MSUSAM1
""
MSPERM1
""
""
""
""
MSDNKM1
""
MSGRCM2
""
""
MSITAM1
""
""
""
MSSRBM1
