AUDUSD
USDBRL
USDCAD
USDCHF
USDCLP
USDCNY
USDCZK
EURUSD
GBPUSD
USDHUF
USDIDR
USDILS
USDINR
USDJPY
USDKRW
USDMXN
USDMYR
USDNOK
NZDUSD
USDPHP
USDPLN
USDRON
USDRUB
USDSEK
USDSGD
USDTHB
USDTRY
USDTWD
""
USDZAR
USDPEN
USDATS
USDBEF
USDFRF
USDESP
USDDKK
USDFIM
USDGRD
USDIEP
USDISK
USDITL
USDPTE
USDNLG
USDDEM
USDRSD
