ITAUS3D
ITBRA3D
ITCAN3D
ITCHE3D
ITCHL3D
ITCHN3W
ITCZE3D
ITEUR3D
ITGBR3D
ITHUN3D
ITIDN3M
ITISR3D
ITIND3D
ITJPN3D
ITKEN6D
ITMEX3D
ITMYS3D
ITNOR3D
ITNZL3D
ITPHL3D
ITPOL3D
ITRUS3D
ITSWE3D
ITSGP3D
ITTHA3D
ITTUR3D
ITTWN3D
ITRUSA3D
ITZAF3D
""
""
ITBEL3D
ITFRA3D
ITESP3D
ITDNK3D
ITFIN3D
ITGRC3D
ITIRL3M
ITISL3D
ITITA3D
ITPRT3D
ITNLD3D
ITDEU3D
ITSRB3M
