IDAUSD
IDBRASDD
IDCAND
IDCHED
IDCHLD
IDCHNLD
IDCZED
IDEURMW
IDGBRD
IDHUND
JIIDR3MD
IDISRD
IDINDD
IDJPND
IDKORD
IDMEXD
IDMYSD
IDNORRD
IDNZLD
IDPHLD
IDPOLD
IDROUD
IDRUSD
IDSWED
""
IDTHADD
IDTURD
IDTWNM
IDUSAFFD
IDZAFRD
IDPERD
IDEURMW
IDEURMW
IDEURMW
IDEURMW
IDDNKD
IDEURMW
IDEURMW
IDEURMW
IDISLD
IDEURMW
IDEURMW
IDEURMW
IDEURMW
IDSRBD
